2_101.log:real	3m52.715s
2_102.log:real	5m57.964s
2_104.log:real	3m52.967s
2_108.log:real	6m2.900s
2_110.log:real	3m55.672s
2_11.log:real	3m52.584s
2_120.log:real	5m58.594s
2_12.log:real	5m56.314s
2_140.log:real	3m52.812s
2_14.log:real	3m52.567s
2_180.log:real	5m47.589s
2_18.log:real	5m57.866s
2_201.log:real	5m54.080s
2_202.log:real	3m40.583s
2_204.log:real	5m56.783s
2_208.log:real	3m47.650s
2_210.log:real	6m0.641s
2_21.log:real	6m5.460s
2_220.log:real	3m40.603s
2_22.log:real	3m41.056s
2_240.log:real	5m58.943s
2_24.log:real	5m58.233s
2_280.log:real	3m41.929s
2_28.log:real	3m42.653s
2_300.log:real	5m53.970s
2_30.log:real	5m59.022s
2_3.log:real	6m3.940s
2_401.log:real	3m52.588s
2_402.log:real	5m54.930s
2_404.log:real	3m53.938s
2_408.log:real	5m51.208s
2_410.log:real	3m52.913s
2_41.log:real	3m53.217s
2_420.log:real	5m50.131s
2_42.log:real	5m54.221s
2_440.log:real	3m53.197s
2_44.log:real	3m53.018s
2_480.log:real	5m58.420s
2_48.log:real	5m58.222s
2_500.log:real	3m52.160s
2_50.log:real	3m53.005s
2_5.log:real	3m52.977s
2_600.log:real	5m58.129s
2_60.log:real	5m52.679s
2_6.log:real	5m59.812s
2_801.log:real	5m58.759s
2_802.log:real	3m45.307s
2_804.log:real	5m59.377s
2_808.log:real	3m46.607s
2_810.log:real	6m3.166s
2_81.log:real	5m58.234s
2_820.log:real	3m41.601s
2_82.log:real	3m40.784s
2_840.log:real	5m59.226s
2_84.log:real	5m59.532s
2_880.log:real	3m39.961s
2_88.log:real	3m43.454s
2_900.log:real	6m1.681s
2_90.log:real	6m0.439s
2_9.log:real	6m2.282s
2_a00.log:real	3m40.936s
2_a0.log:real	3m42.590s
2_a.log:real	3m40.863s
2_c00.log:real	5m58.270s
2_c0.log:real	6m1.197s
2_c.log:real	5m57.636s
